PostId,PostUrl,PostEngagement,Platform,ChannelID,ChannelName,ChannelUid,ChannelUrl,ChannelEngagement,post_body_text,GoogleAudioText,VoskAudioText,EmbeddedContentText,published_at,post_data,post_media_urls,LikesCount,SharesCount,CommentsCount,ViewsCount,post_media_file,embedded_post_text,search_data
474365309,https://twitter.com/JoeBiden/status/1907175424251015349,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38143060,""following_count"":44,""like_count"":null,""post_count"":10956,""views_count"":null,""comment_count"":null,""share_count"":null}","Florida and Wisconsin, it's not too late. Go VOTE.", ,no longer populated,,2025-04-01T20:57:09.000Z,post data removed,,24160,3677,1972,1553913,,
466074160,https://twitter.com/JoeBiden/status/1904658783281741943,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38146293,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","Last year, we lost a fearless leader and advocate for equal pay when we lost Lilly Ledbetter. Her relentless advocacy for women to be treated with dignity and paid what they deserve inspired us all.

This Equal Pay Day and Women’s History Month, we remember and honor the legacy of women like Lilly who courageously fought for what’s fair.", ,no longer populated,,2025-03-25T22:16:55.000Z,post data removed,,7000,991,954,439836,,
464432555,https://twitter.com/JoeBiden/status/1903905848377872393,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38152936,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","Fifteen years ago today, I stood with President Obama as he signed the Affordable Care Act into law. It was a big deal then and it still is today.

Under my administration, we focused on building on the successes of the ACA. I’m proud that we helped a record number of Americans sign up for marketplace coverage and significantly lowered the costs of prescription drugs and premiums.

I believe that health care is a right, not a privilege – and we should always protect it.", ,no longer populated,,2025-03-23T20:25:01.000Z,post data removed,,27276,4141,5590,1195289,,
460703808,https://twitter.com/JoeBiden/status/1901730825751916691,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38145531,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","My grandfather Ambrose Finnegan used to say, ""If you're lucky enough to be Irish, you're lucky enough.""

Happy St. Patrick's Day! https://t.co/hCFimo3tNZ", ,no longer populated,,2025-03-17T20:22:15.000Z,post data removed,,59261,4561,5050,3087770,,
459079337,https://twitter.com/JoeBiden/status/1900661193422897323,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38152936,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","Alan Simpson was one of the finest Senators I ever served with. I got to the Senate in 1973; he got there in 1979. From the moment we met, we were friends. I served with many women and men during my time there, and there was no one I trusted more than Alan. Though we didn't agree on everything, he was a man of enormous decency and integrity, toughness and humor. When Alan said something, he meant it. Whatever he told you he would do, he did. He was the real deal. One of the great honors I had as President was awarding Alan the Presidential Medal of Freedom. If anyone deserved that award, it was him. He will be remembered for bringing people together, leading with conviction, and I believe exemplifying what it means to be a public servant. He also had an enormous love and devotion to his family. Simply put: He was an incredible person. I send my love and condolences to his wife Ann, their children Bill, Colin and Sue, and the entire Simpson family. May he rest in peace.", ,no longer populated,,2025-03-14T21:31:55.000Z,post data removed,,4758,581,891,617377,,
458478689,https://twitter.com/JoeBiden/status/1900360720992096350,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38143403,""following_count"":44,""like_count"":null,""post_count"":10956,""views_count"":null,""comment_count"":null,""share_count"":null}",Jill and I are saddened by the passing of Congressman Raúl Grijalva. He will be remembered for tirelessly standing up for working families and protecting our environment. Our prayers are with his family and loved ones., ,no longer populated,,2025-03-14T01:37:57.000Z,post data removed,,22367,1827,2418,1282661,,
454780148,https://twitter.com/JoeBiden/status/1898478126893543643,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38152936,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","Like so many of you, I'm celebrating the incredible women in my life today. International Women's Day is a time to recognize the achievements of women and girls everywhere and recommit our efforts to advance dignity, opportunity, and equality for all. When women and girls succeed, communities, economies, and democracies succeed.", ,no longer populated,,2025-03-08T20:57:12.000Z,post data removed,,29063,3224,7173,1819298,,
454171236,https://twitter.com/JoeBiden/status/1898137763683483997,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38143509,""following_count"":44,""like_count"":null,""post_count"":10956,""views_count"":null,""comment_count"":null,""share_count"":null}","60 years ago, hundreds of brave heroes marched unflinchingly across the Edmund Pettus Bridge, demanding the fundamental right to vote. They were met with brutal force and violence, but their courageous activism continued until the Voting Rights Act became the law of the land.

Today, we honor those leaders by remembering the journey our Nation has taken — and more importantly, where we must go now. Together, let's keep the faith.", ,no longer populated,,2025-03-07T22:24:43.000Z,post data removed,,29907,4783,3557,1201870,,
452729645,https://twitter.com/JoeBiden/status/1897438473667166707,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38152936,""following_count"":44,""like_count"":null,""post_count"":10954,""views_count"":null,""comment_count"":null,""share_count"":null}","Sylvester Turner dedicated his career to serving the community he loved. He was a remarkable Congressman, Mayor, father, and grandfather. Jill and I are saddened by his passing and send our deepest condolences to Sylvester's family and his beloved Houston community.", ,no longer populated,,2025-03-06T00:05:59.000Z,post data removed,,19779,1931,1659,1440708,,
447542258,https://twitter.com/JoeBiden/status/1894927859745214858,,Twitter,10320355,Joe Biden,blank_for_now,blank_for_now,"{""follower_count"":38143596,""following_count"":44,""like_count"":null,""post_count"":10956,""views_count"":null,""comment_count"":null,""share_count"":null}","Reunited with the best of the best on my favorite line. Thanks for the ride, @Amtrak. https://t.co/1cOwibopL8", ,no longer populated,,2025-02-27T01:49:42.000Z,post data removed,,72103,4091,3322,3314466,,
